timestamp,lat_accel,lat_accel_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,airspeed_ref,bearing,heading_ref,min_ground_speed_ref,adapted_period,p_gain,time_const,can_run_factor,wind_est_valid
98031802,0.09152714,0.0,1.0,1.0,43.448116,29.626614,7.1445026,-0.12973715,0.050296593,5.0,10.0,0.87964594,7.0,1.0,1
98131377,0.079176195,0.0,1.0,1.0,43.015858,30.555456,7.1445208,-0.13039286,0.049753994,5.0,10.0,0.87964594,7.0,1.0,1
98231389,0.0125661,0.0,1.0,1.0,42.569218,31.200777,7.144638,-0.13078457,0.051037975,5.0,10.0,0.87964594,7.0,1.0,1
98330947,0.13564637,0.0,1.0,1.0,42.14371,30.54118,7.1448207,-0.13135198,0.050902113,5.0,10.0,0.87964594,7.0,1.0,1
98430937,0.05862899,0.0,1.0,1.0,41.690693,31.731758,7.144821,-0.13200232,0.051529706,5.0,10.0,0.87964594,7.0,1.0,1
98530900,0.16639994,0.0,1.0,1.0,41.234818,30.068281,7.1448207,-0.13262387,0.052638542,5.0,10.0,0.87964594,7.0,1.0,1
98630553,0.14384212,0.0,1.0,1.0,40.77799,31.699587,7.1446853,-0.13353719,0.05215105,5.0,10.0,0.87964594,7.0,1.0,1
98730301,0.10337158,0.0,1.0,1.0,40.315018,31.901352,7.1445384,-0.13421696,0.05385743,5.0,10.0,0.87964594,7.0,1.0,1
98829938,0.06634992,0.0,1.0,1.0,39.84547,32.708157,7.1459904,-0.13505462,0.055653352,5.0,10.0,0.87964594,7.0,1.0,1
98929906,0.0014730402,0.0,1.0,1.0,39.357296,33.27267,7.145662,-0.13562371,0.055143964,5.0,10.0,0.87964594,7.0,1.0,1
99029742,0.21095704,0.0,1.0,1.0,38.890488,31.61192,7.1458354,-0.13619629,0.056638826,5.0,10.0,0.87964594,7.0,1.0,1
99129308,0.23092203,0.0,1.0,1.0,38.4122,32.28389,7.14588,-0.13710828,0.055949822,5.0,10.0,0.87964594,7.0,1.0,1
99229313,0.3444457,0.0,1.0,1.0,37.936047,30.407932,7.1459546,-0.13789006,0.05685986,5.0,10.0,0.87964594,7.0,1.0,1
99328912,0.46284384,0.0,1.0,1.0,37.491116,30.29007,7.146,-0.13927397,0.05688664,5.0,10.0,0.87964594,7.0,1.0,1
99428895,0.47480702,0.0,1.0,1.0,37.046314,30.827204,7.145917,-0.14069365,0.05619959,5.0,10.0,0.87964594,7.0,1.0,1
99528666,0.62595505,0.0,1.0,1.0,36.610107,29.699465,7.146265,-0.14256488,0.05595209,5.0,10.0,0.87964594,7.0,1.0,1
99628483,0.5539434,0.0,1.0,1.0,36.17329,30.70947,7.146265,-0.14468718,0.05651667,5.0,10.0,0.87964594,7.0,1.0,1
99728275,0.6682832,0.0,1.0,1.0,35.745415,28.666384,7.1463294,-0.14683555,0.0548932,5.0,10.0,0.87964594,7.0,1.0,1
99827833,0.6595572,0.0,1.0,1.0,35.32924,28.984571,7.1462183,-0.1493652,0.05573976,5.0,10.0,0.87964594,7.0,1.0,1
99927861,0.653468,0.0,1.0,1.0,34.90279,29.33738,7.146265,-0.15177354,0.053633027,5.0,10.0,0.87964594,7.0,1.0,1
100027918,0.7343212,0.0,1.0,1.0,34.513424,28.28701,7.146456,-0.15431291,0.05473932,5.0,10.0,0.87964594,7.0,1.0,1
100117234,0.6673039,0.0,1.0,1.0,34.1551,28.490358,7.1462555,-0.1566666,0.05578672,5.0,10.0,0.87964594,7.0,1.0,1
100217025,0.7338829,0.0,1.0,1.0,33.756493,26.564081,7.1465106,-0.15904751,0.05403467,5.0,10.0,0.87964594,7.0,1.0,1
100316812,0.7761045,0.0,1.0,1.0,33.380768,26.875822,7.146447,-0.16160582,0.054312512,5.0,10.0,0.87964594,7.0,1.0,1
100416775,0.7780581,0.0,1.0,1.0,33.00397,28.198936,7.1464477,-0.16404629,0.054863777,5.0,10.0,0.87964594,7.0,1.0,1
100516587,0.8368781,0.0,1.0,1.0,32.630936,27.140327,7.1467214,-0.16658713,0.052477077,5.0,10.0,0.87964594,7.0,1.0,1
100616233,0.79250324,0.0,1.0,1.0,32.24411,28.09816,7.1465106,-0.16922368,0.05325501,5.0,10.0,0.87964594,7.0,1.0,1
100716044,0.83060306,0.0,1.0,1.0,31.842182,27.532253,7.146557,-0.17163886,0.051661365,5.0,10.0,0.87964594,7.0,1.0,1
100815795,0.78664285,0.0,1.0,1.0,31.459162,28.76494,7.1465387,-0.17413214,0.05202332,5.0,10.0,0.87964594,7.0,1.0,1
100915597,0.7398802,0.0,1.0,1.0,31.04693,29.657888,7.1464024,-0.17651118,0.053291954,5.0,10.0,0.87964594,7.0,1.0,1
101015424,0.63991797,0.0,1.0,1.0,30.63816,28.932281,7.1466403,-0.1788004,0.05172075,5.0,10.0,0.87964594,7.0,1.0,1
101115169,0.5089346,0.0,1.0,1.0,30.219284,29.888142,7.1465025,-0.18069033,0.05339941,5.0,10.0,0.87964594,7.0,1.0,1
101215238,0.5215304,0.0,1.0,1.0,29.782476,28.745321,7.1466756,-0.18237446,0.05432164,5.0,10.0,0.87964594,7.0,1.0,1
101314760,0.42098457,0.0,1.0,1.0,29.34085,30.443958,7.146649,-0.18180642,0.05471127,5.0,10.0,0.87964594,7.0,1.0,1
101414640,0.42907032,0.0,1.0,1.0,28.8816,30.819223,7.146548,-0.17890216,0.05890647,5.0,10.0,0.87964594,7.0,1.0,1
101514338,0.441009,0.0,1.0,1.0,28.439503,31.925848,7.1466575,-0.1675535,0.06711221,5.0,10.0,0.87964594,7.0,1.0,1
101614139,0.47026438,0.0,1.0,1.0,27.958548,32.841904,7.146576,-0.15253702,0.07938529,5.0,10.0,0.87964594,7.0,1.0,1
101713968,0.49552923,0.0,1.0,1.0,27.4774,31.891602,7.1468678,-0.15812834,0.076357745,5.0,10.0,0.87964594,7.0,1.0,1
101813756,0.5723828,0.0,1.0,1.0,26.989922,33.45454,7.146649,-0.13048202,0.096089594,5.0,10.0,0.87964594,7.0,1.0,1
101913516,0.6318939,0.0,1.0,1.0,26.478153,33.242,7.1467123,-0.124882124,0.1012292,5.0,10.0,0.87964594,7.0,1.0,1
102013559,0.64001644,0.0,1.0,1.0,25.983196,33.64628,7.1469316,-0.10939131,0.113195464,5.0,10.0,0.87964594,7.0,1.0,1
102113167,0.68582356,0.0,1.0,1.0,25.473503,34.122158,7.147753,-0.09075769,0.12593272,5.0,10.0,0.87964594,7.0,1.0,1
