timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
17540941,16.293455,32.061523,15.0,175.18953,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.934685,17.459974,1.0,16.771952,-0.47849655,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
17740920,16.62929,31.45172,15.0,176.9439,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.258324,17.418638,1.0,16.375305,0.25398445,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
17940920,16.671497,31.433407,15.0,178.6848,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.300165,17.388481,1.0,16.63275,0.038747787,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
18141171,16.603598,31.151394,15.0,180.43013,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.226625,17.35907,1.0,16.733467,-0.12986946,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
18340923,16.615526,31.389458,15.0,182.19537,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.243315,17.338102,1.0,16.765133,-0.1496067,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
18540929,16.023687,31.629349,15.0,183.96521,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.656275,17.309885,1.0,16.588799,-0.56511116,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
18740926,16.60268,31.341845,15.0,185.71028,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.229517,17.299028,1.0,16.639315,-0.036634445,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
18940922,16.67425,31.502993,15.0,187.45197,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.30431,17.290829,1.0,16.661814,0.012435913,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
19140927,16.622866,31.389458,15.0,189.19017,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.250654,17.285694,1.0,16.686506,-0.063640594,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
19340920,16.632042,31.228306,15.0,190.93446,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.256609,17.280785,1.0,16.605062,0.026979446,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
