timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
20144626,0.0,0.95090485,-0.030790837,0.14739525,-0.2703823,0.014423043,0.0,0.0
20194526,0.0,0.9509313,-0.030805258,0.14739223,-0.27028927,0.014423043,0.0,0.0
20244465,0.0,0.94827026,-0.029377013,0.14768353,-0.2794819,0.014423043,0.0,0.0
20294232,0.0,0.94199944,-0.02617388,0.14828473,-0.29993942,0.014423043,0.0,0.0
20344164,0.0,0.9321639,-0.021526132,0.1490304,-0.32923707,0.014423043,0.0,0.0
20393998,0.0,0.91984165,-0.016202666,0.14970273,-0.36224008,0.014423043,0.0,0.0
20443951,0.0,0.9063562,-0.01086046,0.15018484,-0.39477205,0.014423043,0.0,0.0
20493730,0.0,0.893513,-0.0061391415,0.15045181,-0.4230379,0.014423043,0.0,0.0
20543609,0.0,0.8831106,-0.0025291862,0.15055576,-0.4443448,0.014423043,0.0,0.0
20593484,0.0,0.8765644,-0.00034245758,0.15057662,-0.45712298,0.014423043,0.0,0.0
20643435,0.0,0.87325746,0.0007394132,0.15057519,-0.46340913,0.014423043,0.0,0.0
20693229,0.0,0.87262464,0.0009447614,0.15057404,-0.4645996,0.014423043,0.0,0.0
20743108,0.0,0.8749185,0.00019784267,0.15057687,-0.4602653,0.014423043,0.0,0.0
20792994,0.0,0.880996,-0.0018160328,0.15056606,-0.44852278,0.014423043,0.0,0.0
20848125,0.0,0.89221746,-0.005679831,0.15046984,-0.42576355,0.014423043,0.0,0.0
20892737,0.0,0.90435416,-0.010103048,0.1502377,-0.3993371,0.014423043,0.0,0.0
20942605,0.0,0.9213186,-0.0168161,0.14963506,-0.358467,0.014423043,0.0,0.0
20992483,0.0,0.9418816,-0.026115663,0.148295,-0.30030924,0.014423043,0.0,0.0
21047735,0.0,0.9662179,-0.040131874,0.14513052,-0.20916404,0.014423043,0.0,0.0
21092224,0.0,0.98191786,-0.05398027,0.14056872,-0.11473415,0.014423043,0.0,0.0
21142111,0.0,0.9885959,-0.07022167,0.13320042,0.0021669604,0.014423043,0.0,0.0
21197383,0.0,0.9794783,-0.087356344,0.12264708,0.1339732,0.014423043,0.0,0.0
21247123,0.0,0.95726544,-0.101883136,0.11146724,0.24665321,0.014423043,0.0,0.0
21291731,0.0,0.9290951,-0.11128705,0.101432875,0.33780006,0.014423043,0.0,0.0
21341603,0.0,0.8928194,-0.120416164,0.09040676,0.42449993,0.014423043,0.0,0.0
21346903,0.0,0.88912845,-0.1211907,0.089365825,0.43217728,0.014423043,0.0,0.0
28314036,0.0,0.9713258,-0.043888815,0.14403892,-0.18399113,0.014423043,0.0,0.0
28319595,0.0,0.97133815,-0.043898474,0.14403597,-0.18392599,0.014423043,0.0,0.0
28369306,0.0,0.971523,-0.04404359,0.14399165,-0.18294713,0.014423043,0.0,0.0
28413854,0.0,0.97170943,-0.04419073,0.14394656,-0.18195409,0.014423043,0.0,0.0
28463763,0.0,0.97179955,-0.04426207,0.14392465,-0.18147248,0.014423043,0.0,0.0
28518894,0.0,0.97180516,-0.044266507,0.14392328,-0.18144251,0.014423043,0.0,0.0
28568780,0.0,0.97200936,-0.04442893,0.14387323,-0.18034549,0.014423043,0.0,0.0
28613387,0.0,0.9723384,-0.044692647,0.14379153,-0.17856303,0.014423043,0.0,0.0
28668488,0.0,0.9730077,-0.045236964,0.1436212,-0.1748788,0.014423043,0.0,0.0
28718331,0.0,0.97374594,-0.045850117,0.14342664,-0.17072041,0.014423043,0.0,0.0
28768290,0.0,0.97460294,-0.046580154,0.14319122,-0.16575782,0.014423043,0.0,0.0
28812851,0.0,0.975397,-0.04727546,0.14296316,-0.16101967,0.014423043,0.0,0.0
28868172,0.0,0.97643185,-0.04821193,0.14265007,-0.15461999,0.014423043,0.0,0.0
28917827,0.0,0.9772304,-0.048960388,0.14239493,-0.14949016,0.014423043,0.0,0.0
28967828,0.0,0.9778653,-0.049573306,0.14218271,-0.1452793,0.014423043,0.0,0.0
29017675,0.0,0.9782761,-0.04997907,0.14204058,-0.14248669,0.014423043,0.0,0.0
29067480,0.0,0.9785227,-0.050226353,0.14195332,-0.1407828,0.014423043,0.0,0.0
29117322,0.0,0.97867614,-0.050381575,0.14189832,-0.13971256,0.014423043,0.0,0.0
29167317,0.0,0.9790015,-0.050714687,0.1417796,-0.13741371,0.014423043,0.0,0.0
29217330,0.0,0.97968715,-0.051434435,0.14152008,-0.13243748,0.014423043,0.0,0.0
29267015,0.0,0.9808481,-0.051731568,0.1409514,-0.12407068,0.014423043,0.0,0.0
29316824,0.0,0.98217154,-0.054293882,0.14044788,-0.11254224,0.014423043,0.0,0.0
29366777,0.0,0.98362535,-0.05621889,0.13968848,-0.099033885,0.014423043,0.0,0.0
29416589,0.0,0.98495495,-0.05823356,0.13886067,-0.08479568,0.014423043,0.0,0.0
29466459,0.0,0.9859777,-0.060040783,0.13808888,-0.07193443,0.014423043,0.0,0.0
29516315,0.0,0.9866417,-0.061405264,0.13748756,-0.062167276,0.014423043,0.0,0.0
29566257,0.0,0.9869792,-0.06218594,0.13713622,-0.056556825,0.014423043,0.0,0.0
29616157,0.0,0.987069,-0.062406786,0.13703586,-0.054966748,0.014423043,0.0,0.0
29666083,0.0,0.9870212,-0.062288556,0.13708964,-0.05581817,0.014423043,0.0,0.0
29715823,0.0,0.98691386,-0.062029086,0.13720724,-0.0576854,0.014423043,0.0,0.0
29765810,0.0,0.9868097,-0.06178476,0.13731743,-0.059442014,0.014423043,0.0,0.0
29815631,0.0,0.9867245,-0.061590392,0.13740472,-0.0608383,0.014423043,0.0,0.0
29865462,0.0,0.9867143,-0.061567415,0.13741502,-0.06100327,0.014423043,0.0,0.0
29920118,0.0,0.9867786,-0.061713357,0.13734955,-0.059955083,0.014423043,0.0,0.0
29965299,0.0,0.9868778,-0.06194376,0.13724579,-0.058299057,0.014423043,0.0,0.0
30015137,0.0,0.98694533,-0.063181885,0.1371611,-0.055980776,0.014423043,0.0,0.0
30069737,0.0,0.98709255,-0.063551165,0.1369904,-0.053321745,0.014423043,0.0,0.0
30119582,0.0,0.98726666,-0.06291606,0.13680279,-0.051294964,0.014423043,0.0,0.0
30164971,0.0,0.98733354,-0.06309673,0.13671955,-0.049990628,0.014423043,0.0,0.0
