timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
214880259,214848990,4,6,1,0,0,0,0,0,0,0,0,0,0
215895259,215863562,4,6,1,0,0,0,0,0,0,0,0,0,0
216917177,216885981,4,6,1,0,0,0,0,0,0,0,0,0,0
217931570,217900617,4,6,1,0,0,0,0,0,0,0,0,0,0
218951152,218920020,4,6,1,0,0,0,0,0,0,0,0,0,0
219968425,219936891,4,6,1,0,0,0,0,0,0,0,0,0,0
220987699,220956396,4,6,1,0,0,0,0,0,0,0,0,0,0
222004647,221973584,4,6,1,0,0,0,0,0,0,0,0,0,0
223024368,222993620,4,6,1,0,0,0,0,0,0,0,0,0,0
224042076,224010103,4,6,1,0,0,0,0,0,0,0,0,0,0
225060642,225030057,4,6,1,0,0,0,0,0,0,0,0,0,0
226080818,226049158,4,6,1,0,0,0,0,0,0,0,0,0,0
227100236,227068759,4,6,1,0,0,0,0,0,0,0,0,0,0
228117124,228086320,4,6,1,0,0,0,0,0,0,0,0,0,0
229141620,229110851,4,6,1,0,0,0,0,0,0,0,0,0,0
230164172,230132242,4,6,1,0,0,0,0,0,0,0,0,0,0
231183933,231151786,4,6,1,0,0,0,0,0,0,0,0,0,0
232205203,232174162,4,6,1,0,0,0,0,0,0,0,0,0,0
233224720,233193554,4,6,1,0,0,0,0,0,0,0,0,0,0
234244285,234213233,4,6,1,0,0,0,0,0,0,0,0,0,0
235259060,235227960,4,6,1,0,0,0,0,0,0,0,0,0,0
236283664,236252819,4,6,1,0,0,0,0,0,0,0,0,0,0
237300073,237269251,4,6,1,0,0,0,0,0,0,0,0,0,0
238320540,238288653,4,6,1,0,0,0,0,0,0,0,0,0,0
239342189,239310759,4,6,1,0,0,0,0,0,0,0,0,0,0
240363902,240332621,4,6,1,0,0,0,0,0,0,0,0,0,0
241379242,241347285,4,6,1,0,0,0,0,0,0,0,0,0,0
242403168,242371766,4,6,1,0,0,0,0,0,0,0,0,0,0
243424983,243394333,4,6,1,0,0,0,0,0,0,0,0,0,0
244447546,244415686,4,6,1,0,0,0,0,0,0,0,0,0,0
245469262,245437899,4,6,1,0,0,0,0,0,0,0,0,0,0
246493698,246462286,4,6,1,0,0,0,0,0,0,0,0,0,0
247518170,247486727,4,6,1,0,0,0,0,0,0,0,0,0,0
248537543,248506675,4,6,1,0,0,0,0,0,0,0,0,0,0
249557026,249525803,4,6,1,0,0,0,0,0,0,0,0,0,0
250578968,250547681,4,6,1,0,0,0,0,0,0,0,0,0,0
251599174,251567274,4,6,1,0,0,0,0,0,0,0,0,0,0
252613536,252581850,4,6,1,0,0,0,0,0,0,0,0,0,0
253633082,253601423,4,6,1,0,0,0,0,0,0,0,0,0,0
254652782,254620956,4,6,1,0,0,0,0,0,0,0,0,0,0
255671731,255640449,4,6,1,0,0,0,0,0,0,0,0,0,0
256693769,256662981,4,6,1,0,0,0,0,0,0,0,0,0,0
257713919,257682108,4,6,1,0,0,0,0,0,0,0,0,0,0
258730722,258699057,4,6,1,0,0,0,0,0,0,0,0,0,0
259750237,259718649,4,6,1,0,0,0,0,0,0,0,0,0,0
260764463,260733197,4,6,1,0,0,0,0,0,0,0,0,0,0
261784348,261752761,4,6,1,0,0,0,0,0,0,0,0,0,0
262806315,262774901,4,6,1,0,0,0,0,0,0,0,0,0,0
263329791,263306759,5,4,1,0,0,0,0,0,0,0,0,0,0
264347641,264326539,5,4,1,0,0,0,0,0,0,0,0,0,0
265368832,265345810,5,4,1,0,0,0,0,0,0,0,0,0,0
266390969,266367804,5,4,1,0,0,0,0,0,0,0,0,0,0
267391030,267367542,5,4,1,0,0,0,0,0,0,0,0,0,0
268405756,268382313,5,4,1,0,0,0,0,0,0,0,0,0,0
269422398,269399804,5,4,1,0,0,0,0,0,0,0,0,0,0
270442034,270418859,5,4,1,0,0,0,0,0,0,0,0,0,0
271461383,271438695,5,4,1,0,0,0,0,0,0,0,0,0,0
272476025,272453488,5,4,1,0,0,0,0,0,0,0,0,0,0
273495530,273472575,5,4,1,0,0,0,0,0,0,0,0,0,0
274515104,274492396,5,4,1,0,0,0,0,0,0,0,0,0,0
275515113,275491908,5,4,1,0,0,0,0,0,0,0,0,0,0
276534499,276512319,5,4,1,0,0,0,0,0,0,0,0,0,0
277551679,277528634,5,4,1,0,0,0,0,0,0,0,0,0,0
278568562,278545624,5,4,1,0,0,0,0,0,0,0,0,0,0
279590735,279567500,5,4,1,0,0,0,0,0,0,0,0,0,0
280607736,280584697,5,4,1,0,0,0,0,0,0,0,0,0,0
281625131,281601572,5,4,1,0,0,0,0,0,0,0,0,0,0
282641782,282618991,5,4,1,0,0,0,0,0,0,0,0,0,0
283644907,283620948,5,4,1,0,0,0,0,0,0,0,0,0,0
284661218,284638346,5,4,1,0,0,0,0,0,0,0,0,0,0
285683529,285660015,5,4,1,0,0,0,0,0,0,0,0,0,0
286702739,286679482,5,4,1,0,0,0,0,0,0,0,0,0,0
287722578,287699178,5,4,1,0,0,0,0,0,0,0,0,0,0
288724524,288701742,5,4,1,0,0,0,0,0,0,0,0,0,0
289746532,289723504,5,4,1,0,0,0,0,0,0,0,0,0,0
290766725,290742868,5,4,1,0,0,0,0,0,0,0,0,0,0
291785590,291762374,5,4,1,0,0,0,0,0,0,0,0,0,0
292785672,292762169,5,4,1,0,0,0,0,0,0,0,0,0,0
293805015,293781694,5,4,1,0,0,0,0,0,0,0,0,0,0
294824768,294801296,5,4,1,0,0,0,0,0,0,0,0,0,0
295846440,295823568,5,4,1,0,0,0,0,0,0,0,0,0,0
296868461,296843331,5,4,1,0,0,0,0,0,0,0,0,0,0
297888252,297864719,5,4,1,0,0,0,0,0,0,0,0,0,0
298909998,298886927,5,4,1,0,0,0,0,0,0,0,0,0,0
299929606,299906643,5,4,1,0,0,0,0,0,0,0,0,0,0
300952473,300928228,5,4,1,0,0,0,0,0,0,0,0,0,0
301973499,301950371,5,4,1,0,0,0,0,0,0,0,0,0,0
302990819,302965191,5,4,1,0,0,0,0,0,0,0,0,0,0
304010080,303986795,5,4,1,0,0,0,0,0,0,0,0,0,0
305032019,305006313,5,4,1,0,0,0,0,0,0,0,0,0,0
306051512,306028800,5,4,1,0,0,0,0,0,0,0,0,0,0
307073603,307050296,5,4,1,0,0,0,0,0,0,0,0,0,0
308093845,308069822,5,4,1,0,0,0,0,0,0,0,0,0,0
309112574,309089369,5,4,1,0,0,0,0,0,0,0,0,0,0
310112767,310089168,5,4,1,0,0,0,0,0,0,0,0,0,0
311129443,311106582,5,4,1,0,0,0,0,0,0,0,0,0,0
312148984,312125861,5,4,1,0,0,0,0,0,0,0,0,0,0
313166591,313142802,5,4,1,0,0,0,0,0,0,0,0,0,0
314183006,314160215,5,4,1,0,0,0,0,0,0,0,0,0,0
315186080,315162187,5,4,1,0,0,0,0,0,0,0,0,0,0
316204902,316181659,5,4,1,0,0,0,0,0,0,0,0,0,0
317205281,317181514,5,4,1,0,0,0,0,0,0,0,0,0,0
318221678,318198881,5,4,1,0,0,0,0,0,0,0,0,0,0
319241288,319218198,5,4,1,0,0,0,0,0,0,0,0,0,0
320259051,320238070,5,4,1,0,0,0,0,0,0,0,0,0,0
321275353,321252974,5,4,1,0,0,0,0,0,0,0,0,0,0
322292553,322269278,5,4,1,0,0,0,0,0,0,0,0,0,0
323307108,323283832,5,4,1,0,0,0,0,0,0,0,0,0,0
324324171,324301143,5,4,1,0,0,0,0,0,0,0,0,0,0
325346187,325322868,5,4,1,0,0,0,0,0,0,0,0,0,0
326349108,326325793,5,4,1,0,0,0,0,0,0,0,0,0,0
327367863,327345058,5,4,1,0,0,0,0,0,0,0,0,0,0
328385320,328361948,5,4,1,0,0,0,0,0,0,0,0,0,0
329401983,329379316,5,4,1,0,0,0,0,0,0,0,0,0,0
330424258,330400775,5,4,1,0,0,0,0,0,0,0,0,0,0
331443599,331420317,5,4,1,0,0,0,0,0,0,0,0,0,0
332463672,332439838,5,4,1,0,0,0,0,0,0,0,0,0,0
333484976,333461958,5,4,1,0,0,0,0,0,0,0,0,0,0
334504489,334481776,5,4,1,0,0,0,0,0,0,0,0,0,0
335519376,335496259,5,4,1,0,0,0,0,0,0,0,0,0,0
336542094,336517896,5,4,1,0,0,0,0,0,0,0,0,0,0
337556304,337532651,5,4,1,0,0,0,0,0,0,0,0,0,0
338577654,338554651,5,4,1,0,0,0,0,0,0,0,0,0,0
339599705,339576480,5,4,1,0,0,0,0,0,0,0,0,0,0
340619488,340595970,5,4,1,0,0,0,0,0,0,0,0,0,0
341638750,341615486,5,4,1,0,0,0,0,0,0,0,0,0,0
342658779,342635004,5,4,1,0,0,0,0,0,0,0,0,0,0
343675517,343652654,5,4,1,0,0,0,0,0,0,0,0,0,0
344692691,344669190,5,4,1,0,0,0,0,0,0,0,0,0,0
345712146,345688813,5,4,1,0,0,0,0,0,0,0,0,0,0
346731446,346708196,5,4,1,0,0,0,0,0,0,0,0,0,0
347734309,347710810,5,4,1,0,0,0,0,0,0,0,0,0,0
348750891,348727482,5,4,1,0,0,0,0,0,0,0,0,0,0
349767734,349744624,5,4,1,0,0,0,0,0,0,0,0,0,0
350787367,350764459,5,4,1,0,0,0,0,0,0,0,0,0,0
351806742,351783891,5,4,1,0,0,0,0,0,0,0,0,0,0
352824132,352800941,5,4,1,0,0,0,0,0,0,0,0,0,0
353838958,353815209,5,4,1,0,0,0,0,0,0,0,0,0,0
354860300,354837265,5,4,1,0,0,0,0,0,0,0,0,0,0
355865127,355842037,5,4,1,0,0,0,0,0,0,0,0,0,0
356882896,356858955,5,4,1,0,0,0,0,0,0,0,0,0,0
357901664,357878623,5,4,1,0,0,0,0,0,0,0,0,0,0
358901890,358878279,5,4,1,0,0,0,0,0,0,0,0,0,0
359921075,359897828,5,4,1,0,0,0,0,0,0,0,0,0,0
360942875,360917303,5,4,1,0,0,0,0,0,0,0,0,0,0
361960067,361936776,5,4,1,0,0,0,0,0,0,0,0,0,0
362978367,362956329,5,4,1,0,0,0,0,0,0,0,0,0,0
363999098,363975892,5,4,1,0,0,0,0,0,0,0,0,0,0
365013651,364990734,5,4,1,0,0,0,0,0,0,0,0,0,0
366028282,366004977,5,4,1,0,0,0,0,0,0,0,0,0,0
367045168,367022107,5,4,1,0,0,0,0,0,0,0,0,0,0
368067238,368044044,5,4,1,0,0,0,0,0,0,0,0,0,0
369020125,368997684,6,4,3,0,0,0,0,0,0,0,0,0,0
369220096,369196492,7,1,3,0,0,0,0,0,0,0,0,0,0
370234302,370211118,7,1,3,0,0,0,0,0,0,0,0,0,0
371254834,371230597,7,1,3,0,0,0,0,0,0,0,0,0,0
372275688,372253083,7,1,3,0,0,0,0,0,0,0,0,0,0
373295201,373272475,7,1,3,0,0,0,0,0,0,0,0,0,0
374314767,374291770,7,1,3,0,0,0,0,0,0,0,0,0,0
375332135,375308641,7,1,3,0,0,0,0,0,0,0,0,0,0
376347045,376326034,7,1,3,0,0,0,0,0,0,0,0,0,0
377366079,377342775,7,1,3,0,0,0,0,0,0,0,0,0,0
378380594,378358025,7,1,3,0,0,0,0,0,0,0,0,0,0
379400350,379376916,7,1,3,0,0,0,0,0,0,0,0,0,0
380417081,380394303,7,1,3,0,0,0,0,0,0,0,0,0,0
381419784,381396231,7,1,3,0,0,0,0,0,0,0,0,0,0
382434277,382410880,7,1,3,0,0,0,0,0,0,0,0,0,0
383453626,383430465,7,1,3,0,0,0,0,0,0,0,0,0,0
384454098,384430194,7,1,3,0,0,0,0,0,0,0,0,0,0
385472989,385450199,7,1,3,0,0,0,0,0,0,0,0,0,0
386475154,386452594,7,1,3,0,0,0,0,0,0,0,0,0,0
387489918,387467390,7,1,3,0,0,0,0,0,0,0,0,0,0
388509318,388486364,7,1,3,0,0,0,0,0,0,0,0,0,0
389529289,389506074,7,1,3,0,0,0,0,0,0,0,0,0,0
390546004,390522782,7,1,3,0,0,0,0,0,0,0,0,0,0
391122513,391099073,8,1,1,0,0,0,0,0,0,0,0,0,0
391964859,391941387,9,1,3,0,0,0,0,0,0,0,0,0,0
