timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
82177798,82155561,4028193,175.79881,99231.17,5.105032,1.2421439,2,1
82350564,82328362,4028193,175.48174,99234.92,5.105032,1.2421908,2,1
82577405,82557856,4028193,175.79881,99231.17,5.105032,1.2421439,2,1
82750190,82730683,4028193,175.6297,99233.17,5.105032,1.2421689,2,1
82922928,82903434,4028193,175.39717,99235.92,5.105032,1.2422034,2,1
83160542,83135639,4028193,175.71689,99232.17,5.105032,1.2421564,2,1
83333332,83308433,4028193,175.58742,99233.67,5.105032,1.2421751,2,1
83560138,83537937,4028193,175.6297,99233.17,5.105032,1.2421689,2,1
83732911,83710715,4028193,175.71689,99232.17,5.105032,1.2421564,2,1
83959721,83940219,4028193,175.60855,99233.42,5.105032,1.242172,2,1
84132537,84113046,4028193,175.79881,99231.17,5.105032,1.2421439,2,1
84370184,84345224,4028193,175.79881,99231.17,5.105032,1.2421439,2,1
84542935,84518040,4028193,175.69312,99232.42,5.105032,1.2421595,2,1
84769741,84747540,4028193,175.65349,99232.92,5.105032,1.2421657,2,1
84942511,84920317,4028193,175.60855,99233.42,5.105032,1.242172,2,1
85169352,85149843,4028193,175.54514,99234.17,5.105032,1.2421814,2,1
85342150,85322633,4028193,175.7354,99231.92,5.105032,1.2421532,2,1
85579841,85554858,4028193,175.54514,99234.17,5.105032,1.2421814,2,1
85752702,85727786,4028193,175.60855,99233.42,5.105032,1.242172,2,1
85979524,85957305,4028193,175.58742,99233.67,5.105032,1.2421751,2,1
86152342,86130139,4028193,175.6297,99233.17,5.105032,1.2421689,2,1
86379071,86359577,4028193,175.67197,99232.67,5.105032,1.2421626,2,1
86551896,86532401,4028193,175.58742,99233.67,5.105032,1.2421751,2,1
86724714,86705222,4028193,175.58742,99233.67,5.105032,1.2421751,2,1
86962289,86937365,4028193,175.54514,99234.17,5.105032,1.2421814,2,1
87135114,87110227,4028193,175.58742,99233.67,5.105032,1.2421751,2,1
87361963,87339750,4028193,175.41832,99235.67,5.105032,1.2422001,2,1
87534695,87512492,4028193,175.60855,99233.42,5.105032,1.242172,2,1
87761449,87741956,4028193,175.6297,99233.17,5.105032,1.2421689,2,1
87934288,87914762,4028193,175.6297,99233.17,5.105032,1.2421689,2,1
88171921,88147001,4028193,175.43944,99235.42,5.105032,1.242197,2,1
88344711,88319792,4028193,175.56628,99233.92,5.105032,1.2421783,2,1
88571599,88549408,4028193,175.56628,99233.92,5.105032,1.2421783,2,1
88744315,88722119,4028193,175.60855,99233.42,5.105032,1.242172,2,1
88971083,88951585,4028193,175.524,99234.42,5.105032,1.2421845,2,1
89143951,89124381,4028193,175.7354,99231.92,5.105032,1.2421532,2,1
89381488,89356588,4028193,175.33374,99236.67,5.105032,1.2422127,2,1
89554338,89529418,4028193,175.58742,99233.67,5.105032,1.2421751,2,1
89727289,89702338,4028193,175.48174,99234.92,5.105032,1.2421908,2,1
89954155,89931957,4028193,175.58742,99233.67,5.105032,1.2421751,2,1
90126908,90104718,4028193,175.60855,99233.42,5.202736,1.241736,2,1
90353704,90334189,4028193,175.48174,99234.92,5.202736,1.2417549,2,1
90526448,90506956,4028193,175.54514,99234.17,5.202736,1.2417455,2,1
90764069,90739181,4028193,175.43944,99235.42,5.202736,1.2417611,2,1
90936937,90912015,4028193,175.37604,99236.17,5.202736,1.2417704,2,1
91163922,91141676,4028193,175.6297,99233.17,5.202736,1.241733,2,1
91336757,91314520,4028193,175.60855,99233.42,5.202736,1.241736,2,1
91563505,91544012,4028193,175.48174,99234.92,5.105032,1.2421908,2,1
91736330,91716824,4028193,175.48174,99234.92,5.202736,1.2417549,2,1
91973926,91949026,4028193,175.31262,99236.92,5.202736,1.2417798,2,1
92146810,92121873,4028193,175.50285,99234.67,5.202736,1.2417517,2,1
92373547,92351341,4028193,175.43944,99235.42,5.202736,1.2417611,2,1
92546512,92524278,4028193,175.48174,99234.92,5.202736,1.2417549,2,1
92773490,92753966,4028193,175.56628,99233.92,5.202736,1.2417424,2,1
92946414,92926867,4028193,175.48174,99234.92,5.202736,1.2417549,2,1
93119398,93099863,4028193,175.46059,99235.17,5.202736,1.2417579,2,1
