timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
88632234,-0.016778965,0.008632104,-0.004033542,4988,0,0.7565341,-0.028249493,-9.880009,4903,0,0,2,1
88637221,-0.02119986,6.113614e-05,-0.004345039,4987,0,0.7472066,-0.027947616,-9.793067,4907,0,0,2,1
88642209,-0.011719997,0.0050291945,-0.0051160906,4988,0,0.7453456,-0.07920847,-9.786476,4901,0,0,2,1
88647197,-0.01726025,0.0009973792,-0.0060365205,4988,0,0.7734715,-0.028669655,-9.85736,4905,0,0,2,1
88652184,-0.019812733,-0.0019108307,-0.0013460264,4987,0,0.7885651,-0.010691603,-9.804149,4904,0,0,2,1
88657172,-0.00825657,0.007933958,-0.0037347293,4988,0,0.7998258,-0.019781582,-9.825108,4904,0,0,2,1
88662160,-0.011768361,0.0051866197,0.0010163023,4988,0,0.7960324,0.039573386,-9.85992,4904,0,0,2,1
88667147,-0.008949202,0.00761699,-0.003899932,4987,0,0.77537113,0.03162086,-9.839262,4904,0,0,2,1
88672135,-0.0029775677,0.00030881134,0.0025141675,4988,0,0.8186181,0.07331849,-9.84043,4904,0,0,2,1
88677123,0.00021517568,0.012672591,-0.0006733013,4988,0,0.78973377,-0.0261595,-9.890707,7356,0,0,2,1
88682110,-0.00010294577,0.0040017716,0.0015664527,4987,0,0.79604733,-0.019403635,-9.845872,4903,0,0,2,1
88687098,-0.0022345854,0.0052082543,-0.00032735395,4988,0,0.82805073,-0.010760315,-9.800409,4904,0,0,2,1
88692085,0.0070294025,0.00416208,-0.0042969217,4987,0,0.8355501,-0.029282046,-9.823425,4905,0,0,2,1
88697073,-0.001917578,0.0028602665,-0.0030339807,4988,0,0.8224308,0.028627466,-9.778906,4904,0,0,2,1
88702061,0.009804235,0.0035312034,0.0010690228,4988,0,0.7716681,0.007797759,-9.779235,4904,0,0,2,1
88707048,0.0044793608,0.003349972,0.002295552,4987,0,0.797936,-0.010174913,-9.832487,4903,0,0,2,1
88712036,0.0068678795,-0.0037422676,-0.0061457283,4988,0,0.8261617,-0.0030140295,-9.809712,4904,0,0,2,1
88717024,0.013212016,0.0034982967,-5.351968e-05,4988,0,0.87882525,0.06288434,-9.787782,4904,0,0,2,1
88722011,0.006824383,0.0002912226,0.0035161471,4987,0,0.7340511,-0.026314015,-9.779836,4904,0,0,2,1
88726999,0.02642012,-0.004683505,-0.0012804492,4988,0,0.63785285,-0.084426604,-10.124614,4903,0,0,2,1
88731986,0.010288236,-0.012223094,0.006162765,4987,0,0.61351407,0.10029879,-10.070318,4904,0,0,2,1
88736974,0.021151977,-0.025074214,0.00389385,4988,0,0.60244644,-0.03740836,-9.793124,4904,0,0,2,1
88741962,0.029733732,-0.012730875,0.010609542,4988,0,0.8282396,-0.065821245,-9.584165,4903,0,0,2,1
88746949,0.03574573,-0.0024737185,0.0031718472,4987,0,0.8153579,-0.02725502,-9.311376,4905,0,0,2,1
88751937,0.029309891,0.0071494086,0.01299603,4988,0,0.8056395,-0.059093934,-9.64257,4904,0,0,2,1
88756925,0.043904647,0.02540985,0.01363408,4988,0,0.7998155,0.14309147,-9.822146,4905,0,0,2,1
88761912,0.026642833,0.020185651,0.007961673,4987,0,0.641558,0.15520187,-10.176981,4903,0,0,2,1
88766900,0.041670598,0.018108096,0.016752854,4988,0,0.5209941,0.034901794,-10.435975,4903,0,0,2,1
88771888,0.04075153,0.0018758449,0.0042064274,4988,0,0.5626241,0.020249128,-10.150998,4904,0,0,2,1
88776875,0.030268045,0.00035865649,0.011432171,4987,0,0.63988996,-0.15560946,-9.959677,4904,0,0,2,1
88781863,0.033835325,0.0048962743,0.010926384,4988,0,0.7774259,-0.14788747,-9.655493,4904,0,0,2,1
88786850,0.023076031,0.0081434315,0.011048872,4987,0,0.6498141,-0.20351723,-9.40889,4904,0,0,2,1
88791838,0.032394744,0.011069984,0.008323182,4988,0,0.64226353,-0.12728462,-9.435813,4904,0,0,2,1
88796826,0.020732304,0.009323187,0.0106464755,4988,0,0.7153695,-0.009234268,-9.67557,4905,0,0,2,1
88801813,0.030691473,-0.0026720066,0.0111651085,4987,0,0.47067708,-0.11384692,-9.964423,4904,0,0,2,1
88806801,0.023972835,-0.0031391475,0.0016799899,4988,0,0.53639936,0.20024867,-10.049454,4904,0,0,2,1
88811789,0.016474068,-0.0038887835,0.013606409,4988,0,0.7209331,0.15123107,-9.750127,4904,0,0,2,1
88816777,0.047941647,-0.012095498,0.0020269363,4988,0,0.5458267,-0.33064997,-10.021338,4904,0,0,2,1
88821764,0.021953087,-0.012327117,0.008919916,4987,0,0.5578338,0.047437225,-9.910543,7358,0,0,2,1
88826751,0.026690265,-0.014598112,0.0048788674,4987,0,0.6401541,-0.05425157,-9.698986,4903,0,0,2,1
88831740,0.013640281,0.0068232086,0.004588657,4989,0,0.72105414,-0.017778166,-9.622845,4904,0,0,2,1
88836727,0.017583096,0.019231614,0.0019324818,4987,0,0.72456825,-0.22711653,-9.881709,4904,0,0,2,1
88841714,0.00085524295,0.015536302,0.0029488103,4987,0,0.7490988,0.07222292,-9.779925,4903,0,0,2,1
88846702,-0.005261924,0.018306775,0.008810289,4988,0,0.7018749,-0.2870969,-10.020696,4904,0,0,2,1
88851689,-0.012302713,0.015266297,-0.0026930706,4987,0,0.6585469,-0.054303918,-10.114672,4903,0,0,2,1
88856677,-0.008410702,0.0102761,0.0022212532,4988,0,0.61351234,-0.1905227,-10.018853,4904,0,0,2,1
88861665,-0.0031906967,-0.0013943622,0.002430107,4988,0,0.65132797,-0.006960889,-9.802117,4904,0,0,2,1
88866653,0.0046912036,-0.0032921452,0.0013226295,4988,0,0.63449764,-0.044807583,-9.698825,4904,0,0,2,1
88871640,0.0065045883,-0.011537377,0.003567464,4987,0,0.71921885,0.18215424,-9.575751,4904,0,0,2,1
88876628,0.010493533,-0.004399776,-0.002218985,4988,0,0.7267825,0.11502852,-9.52974,4903,0,0,2,1
88881615,0.017201845,-0.005047822,-0.004633997,4987,0,0.77554923,0.043367304,-9.65201,4904,0,0,2,1
88886603,0.00942533,-0.0070605087,-0.005302916,4988,0,0.7360122,-0.018090826,-9.70977,4904,0,0,2,1
