timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
99876585,99835625,527633,0.24013714,0.1797719,0.44066715,3
100336595,100325625,527633,0.19864407,0.14805356,0.4661079,3
100856585,100815625,527633,0.2348253,0.16376261,0.45307732,3
101336584,101315625,527633,0.19869785,0.046520323,0.4956306,3
101836586,101805625,527633,0.12877879,-0.0036157076,0.51441276,3
102316691,102295625,527633,-0.03673102,-0.01609353,0.5134699,3
102876596,102855627,527633,-0.21044783,0.040992618,0.45675504,3
103376612,103345626,527633,-0.3551213,0.13930255,0.3123048,3
103856594,103835625,527633,-0.38065177,0.21094744,0.22396356,3
104296651,104275629,527633,-0.32642925,0.29606736,0.21784543,3
104791596,104790633,527633,-0.30442673,0.3769602,0.07311205,3
105351595,105350634,527633,-0.08379094,0.4765353,-0.019501595,3
105891597,105840645,527633,0.11646625,0.48866314,0.05273422,3
106331593,106330633,527633,0.28886968,0.41194403,0.16007628,3
106891593,106890633,527633,0.3428019,0.25851262,0.32493663,3
107391594,107390632,527633,0.35161668,0.08758312,0.40940148,3
107811593,107810632,527633,0.20587125,0.11054488,0.48100033,3
108371614,108370632,527633,0.25755697,0.36009204,0.287036,3
