timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,rc_frame_rate,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality,link_snr
41906682,41906121,37,nan,0,6859,0,0,1621,1835,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
42412880,42412321,39,nan,0,6943,0,0,1577,1927,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
42904148,42903590,38,nan,0,7026,0,0,1480,1927,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
43407883,43407323,38,nan,0,7110,0,0,1577,1497,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
43914139,43913579,37,nan,0,7195,0,0,1562,1265,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
44400392,44399834,38,nan,0,7276,0,0,1576,1496,1094,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
44911630,44911071,37,nan,0,7361,0,0,1577,1495,1159,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
45405074,45404515,37,nan,0,7444,0,0,1576,1496,1193,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
45906631,45906072,37,nan,0,7528,0,0,1576,1496,1237,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
46392958,46392390,37,nan,0,7609,0,0,1576,1495,1280,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
46899152,46898568,37,nan,0,7694,0,0,1576,1495,1313,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
47407902,47407340,37,nan,0,7779,0,0,1576,1495,1332,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
47916841,47916242,37,nan,0,7864,0,0,1576,1495,1342,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
48402861,48402302,37,nan,0,7945,0,0,1576,1495,1348,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
48911733,48911174,38,nan,0,8031,0,0,1576,1495,1357,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
49397925,49397347,37,nan,0,8112,0,0,1576,1495,1362,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
49906736,49906178,37,nan,0,8197,0,0,1576,1495,1389,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
50415437,50414815,37,nan,0,8282,0,0,1576,1495,1435,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
50899180,50898611,37,nan,0,8363,0,0,1576,1495,1497,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
51410311,51409752,37,nan,0,8449,0,0,1575,1496,1523,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
51896757,51896199,37,nan,0,8530,0,0,1504,1426,1538,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
52407809,52407249,37,nan,0,8616,0,0,1570,1395,1570,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
52916526,52915968,37,nan,0,8701,0,0,1574,1348,1602,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
53402858,53402299,37,nan,0,8782,0,0,1575,1323,1625,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
53909039,53908480,37,nan,0,8867,0,0,1575,1363,1637,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
54417764,54417205,36,nan,0,8952,0,0,1575,1403,1637,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
54904067,54903509,37,nan,0,9033,0,0,1575,1420,1637,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
55417757,55417194,37,nan,0,9119,0,0,1574,1383,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
55901574,55900979,37,nan,0,9200,0,0,1575,1492,1643,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
56412766,56412207,37,nan,0,9286,0,0,1561,1412,1644,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
56899031,56898472,36,nan,0,9367,0,0,1553,1422,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
57410240,57409682,37,nan,0,9452,0,0,1571,1495,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
57896529,57895971,36,nan,0,9534,0,0,1575,1495,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
58412727,58412168,36,nan,0,9620,0,0,1574,1495,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
58904080,58903484,37,nan,0,9702,0,0,1573,1459,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
59415200,59414638,36,nan,0,9788,0,0,1447,1479,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
59901527,59900964,36,nan,0,9869,0,0,1569,1495,1647,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
60412690,60412131,36,nan,0,9955,0,0,1600,1495,1646,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
60899054,60898459,36,nan,0,10036,0,0,1777,1495,1647,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
61410186,61409628,36,nan,0,10122,0,0,1613,1470,1647,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
61896632,61895980,36,nan,0,10203,0,0,1734,1466,1645,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
62410261,62409697,36,nan,0,10289,0,0,1593,1423,1648,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
62903919,62903359,36,nan,0,10372,0,0,1420,1242,1648,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
63415211,63414612,36,nan,0,10457,0,0,1592,1442,1648,1503,1927,1094,1870,1907,1510,1094,1094,1927,1094,1094,1510,1510,998,998,18,0,0,4,-1,0
